Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
234,ISTM_EXPPE,Ice Storm - Exposure - Population Equivalence,Double,8,Ice Storm,Exposure - Population Equivalence,1.19.0,Mar-23
235,ISTM_EXPT,Ice Storm - Exposure - Total,Double,8,Ice Storm,Exposure - Total,1.19.0,Mar-23
236,ISTM_EXP_AREA,Ice Storm - Exposure - Impacted Area (sq mi),Double,8,Ice Storm,Exposure - Area,1.19.0,Mar-23
237,ISTM_HLRB,Ice Storm - Historic Loss Ratio - Buildings,Double,8,Ice Storm,Historic Loss Ratio - Buildings,1.19.0,Mar-23
238,ISTM_HLRP,Ice Storm - Historic Loss Ratio - Population,Double,8,Ice Storm,Historic Loss Ratio - Population,1.19.0,Mar-23
239,ISTM_HLRR,Ice Storm - Historic Loss Ratio - Total Rating,String,50,Ice Storm,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
240,ISTM_EALB,Ice Storm - Expected Annual Loss - Building Value,Double,8,Ice Storm,Expected Annual Loss - Building Value,1.19.0,Mar-23
241,ISTM_EALP,Ice Storm - Expected Annual Loss - Population,Double,8,Ice Storm,Expected Annual Loss - Population,1.19.0,Mar-23
242,ISTM_EALPE,Ice Storm - Expected Annual Loss - Population Equivalence,Double,8,Ice Storm,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
243,ISTM_EALT,Ice Storm - Expected Annual Loss - Total,Double,8,Ice Storm,Expected Annual Loss - Total,1.19.0,Mar-23
244,ISTM_EALS,Ice Storm - Expected Annual Loss Score,Double,8,Ice Storm,Expected Annual Loss Score,1.19.0,Mar-23
245,ISTM_EALR,Ice Storm - Expected Annual Loss Rating,String,50,Ice Storm,Expected Annual Loss Rating,1.19.0,Mar-23
246,ISTM_ALRB,Ice Storm - Expected Annual Loss Rate - Building,Double,8,Ice Storm,Expected Annual Loss Rate - Building,1.19.0,Mar-23
247,ISTM_ALRP,Ice Storm - Expected Annual Loss Rate - Population,Double,8,Ice Storm,Expected Annual Loss Rate - Population,1.19.0,Mar-23
248,ISTM_ALR_NPCTL,Ice Storm - Expected Annual Loss Rate - National Percentile,Double,8,Ice Storm,National Percentile,1.19.0,Mar-23
249,ISTM_RISKV,Ice Storm - Hazard Type Risk Index Value,Double,8,Ice Storm,Hazard Type Risk Index Value,1.19.0,Mar-23
250,ISTM_RISKS,Ice Storm - Hazard Type Risk Index Score,Double,8,Ice Storm,Hazard Type Risk Index Score,1.19.0,Mar-23
251,ISTM_RISKR,Ice Storm - Hazard Type Risk Index Rating,String,50,Ice Storm,Hazard Type Risk Index Rating,1.19.0,Mar-23
252,LNDS_EVNTS,Landslide - Number of Events,Double,8,Landslide,Number of Events,1.19.0,Mar-23
253,LNDS_AFREQ,Landslide - Annualized Frequency,Double,8,Landslide,Annualized Frequency,1.19.0,Mar-23
254,LNDS_EXPB,Landslide - Exposure - Building Value,Double,8,Landslide,Exposure - Building Value,1.19.0,Mar-23
255,LNDS_EXPP,Landslide - Exposure - Population,Double,8,Landslide,Exposure - Population,1.19.0,Mar-23
256,LNDS_EXPPE,Landslide - Exposure - Population Equivalence,Double,8,Landslide,Exposure - Population Equivalence,1.19.0,Mar-23
257,LNDS_EXPT,Landslide - Exposure - Total,Double,8,Landslide,Exposure - Total,1.19.0,Mar-23
258,LNDS_EXP_AREA,Landslide - Exposure - Impacted Area (sq mi),Double,8,Landslide,Exposure - Area,1.19.0,Mar-23
259,LNDS_HLRB,Landslide - Historic Loss Ratio - Buildings,Double,8,Landslide,Historic Loss Ratio - Buildings,1.19.0,Mar-23
260,LNDS_HLRP,Landslide - Historic Loss Ratio - Population,Double,8,Landslide,Historic Loss Ratio - Population,1.19.0,Mar-23
261,LNDS_HLRR,Landslide - Historic Loss Ratio - Total Rating,String,50,Landslide,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
262,LNDS_EALB,Landslide - Expected Annual Loss - Building Value,Double,8,Landslide,Expected Annual Loss - Building Value,1.19.0,Mar-23
263,LNDS_EALP,Landslide - Expected Annual Loss - Population,Double,8,Landslide,Expected Annual Loss - Population,1.19.0,Mar-23
264,LNDS_EALPE,Landslide - Expected Annual Loss - Population Equivalence,Double,8,Landslide,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
265,LNDS_EALT,Landslide - Expected Annual Loss - Total,Double,8,Landslide,Expected Annual Loss - Total,1.19.0,Mar-23
266,LNDS_EALS,Landslide - Expected Annual Loss Score,Double,8,Landslide,Expected Annual Loss Score,1.19.0,Mar-23
267,LNDS_EALR,Landslide - Expected Annual Loss Rating,String,50,Landslide,Expected Annual Loss Rating,1.19.0,Mar-23
268,LNDS_ALRB,Landslide - Expected Annual Loss Rate - Building,Double,8,Landslide,Expected Annual Loss Rate - Building,1.19.0,Mar-23
269,LNDS_ALRP,Landslide - Expected Annual Loss Rate - Population,Double,8,Landslide,Expected Annual Loss Rate - Population,1.19.0,Mar-23
270,LNDS_ALR_NPCTL,Landslide - Expected Annual Loss Rate - National Percentile,Double,8,Landslide,National Percentile,1.19.0,Mar-23
271,LNDS_RISKV,Landslide - Hazard Type Risk Index Value,Double,8,Landslide,Hazard Type Risk Index Value,1.19.0,Mar-23
272,LNDS_RISKS,Landslide - Hazard Type Risk Index Score,Double,8,Landslide,Hazard Type Risk Index Score,1.19.0,Mar-23
273,LNDS_RISKR,Landslide - Hazard Type Risk Index Rating,String,50,Landslide,Hazard Type Risk Index Rating,1.19.0,Mar-23
