Sort,Field Name,Field Alias,Type,Length,Relevant Layer,Metric Type,Version,Version Date
77,CFLD_EALP,Coastal Flooding - Expected Annual Loss - Population,Double,8,Coastal Flooding,Expected Annual Loss - Population,1.19.0,Mar-23
78,CFLD_EALPE,Coastal Flooding - Expected Annual Loss - Population Equivalence,Double,8,Coastal Flooding,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
79,CFLD_EALT,Coastal Flooding - Expected Annual Loss - Total,Double,8,Coastal Flooding,Expected Annual Loss - Total,1.19.0,Mar-23
80,CFLD_EALS,Coastal Flooding - Expected Annual Loss Score,Double,8,Coastal Flooding,Expected Annual Loss Score,1.19.0,Mar-23
81,CFLD_EALR,Coastal Flooding - Expected Annual Loss Rating,String,50,Coastal Flooding,Expected Annual Loss Rating,1.19.0,Mar-23
82,CFLD_ALRB,Coastal Flooding - Expected Annual Loss Rate - Building,Double,8,Coastal Flooding,Expected Annual Loss Rate - Building,1.19.0,Mar-23
83,CFLD_ALRP,Coastal Flooding - Expected Annual Loss Rate - Population,Double,8,Coastal Flooding,Expected Annual Loss Rate - Population,1.19.0,Mar-23
84,CFLD_ALR_NPCTL,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Double,8,Coastal Flooding,National Percentile,1.19.0,Mar-23
85,CFLD_RISKV,Coastal Flooding - Hazard Type Risk Index Value,Double,8,Coastal Flooding,Hazard Type Risk Index Value,1.19.0,Mar-23
86,CFLD_RISKS,Coastal Flooding - Hazard Type Risk Index Score,Double,8,Coastal Flooding,Hazard Type Risk Index Score,1.19.0,Mar-23
87,CFLD_RISKR,Coastal Flooding - Hazard Type Risk Index Rating,String,50,Coastal Flooding,Hazard Type Risk Index Rating,1.19.0,Mar-23
88,CWAV_EVNTS,Cold Wave - Number of Events,Double,8,Cold Wave,Number of Events,1.19.0,Mar-23
89,CWAV_AFREQ,Cold Wave - Annualized Frequency,Double,8,Cold Wave,Annualized Frequency,1.19.0,Mar-23
90,CWAV_EXPB,Cold Wave - Exposure - Building Value,Double,8,Cold Wave,Exposure - Building Value,1.19.0,Mar-23
91,CWAV_EXPP,Cold Wave - Exposure - Population,Double,8,Cold Wave,Exposure - Population,1.19.0,Mar-23
92,CWAV_EXPPE,Cold Wave - Exposure - Population Equivalence,Double,8,Cold Wave,Exposure - Population Equivalence,1.19.0,Mar-23
93,CWAV_EXPA,Cold Wave - Exposure - Agriculture Value,Double,8,Cold Wave,Exposure - Agriculture Value,1.19.0,Mar-23
94,CWAV_EXPT,Cold Wave - Exposure - Total,Double,8,Cold Wave,Exposure - Total,1.19.0,Mar-23
95,CWAV_EXP_AREA,Cold Wave - Exposure - Impacted Area (sq mi),Double,8,Cold Wave,Exposure - Area,1.19.0,Mar-23
96,CWAV_HLRB,Cold Wave - Historic Loss Ratio - Buildings,Double,8,Cold Wave,Historic Loss Ratio - Buildings,1.19.0,Mar-23
97,CWAV_HLRP,Cold Wave - Historic Loss Ratio - Population,Double,8,Cold Wave,Historic Loss Ratio - Population,1.19.0,Mar-23
98,CWAV_HLRA,Cold Wave - Historic Loss Ratio - Agriculture,Double,8,Cold Wave,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
99,CWAV_HLRR,Cold Wave - Historic Loss Ratio - Total Rating,String,50,Cold Wave,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
100,CWAV_EALB,Cold Wave - Expected Annual Loss - Building Value,Double,8,Cold Wave,Expected Annual Loss - Building Value,1.19.0,Mar-23
101,CWAV_EALP,Cold Wave - Expected Annual Loss - Population,Double,8,Cold Wave,Expected Annual Loss - Population,1.19.0,Mar-23
102,CWAV_EALPE,Cold Wave - Expected Annual Loss - Population Equivalence,Double,8,Cold Wave,Expected Annual Loss - Population Equivalence,1.19.0,Mar-23
103,CWAV_EALA,Cold Wave - Expected Annual Loss - Agriculture Value,Double,8,Cold Wave,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
104,CWAV_EALT,Cold Wave - Expected Annual Loss - Total,Double,8,Cold Wave,Expected Annual Loss - Total,1.19.0,Mar-23
105,CWAV_EALS,Cold Wave - Expected Annual Loss Score,Double,8,Cold Wave,Expected Annual Loss Score,1.19.0,Mar-23
106,CWAV_EALR,Cold Wave - Expected Annual Loss Rating,String,50,Cold Wave,Expected Annual Loss Rating,1.19.0,Mar-23
107,CWAV_ALRB,Cold Wave - Expected Annual Loss Rate - Building,Double,8,Cold Wave,Expected Annual Loss Rate - Building,1.19.0,Mar-23
108,CWAV_ALRP,Cold Wave - Expected Annual Loss Rate - Population,Double,8,Cold Wave,Expected Annual Loss Rate - Population,1.19.0,Mar-23
109,CWAV_ALRA,Cold Wave - Expected Annual Loss Rate - Agriculture,Double,8,Cold Wave,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
110,CWAV_ALR_NPCTL,Cold Wave - Expected Annual Loss Rate - National Percentile,Double,8,Cold Wave,National Percentile,1.19.0,Mar-23
111,CWAV_RISKV,Cold Wave - Hazard Type Risk Index Value,Double,8,Cold Wave,Hazard Type Risk Index Value,1.19.0,Mar-23
112,CWAV_RISKS,Cold Wave - Hazard Type Risk Index Score,Double,8,Cold Wave,Hazard Type Risk Index Score,1.19.0,Mar-23
113,CWAV_RISKR,Cold Wave - Hazard Type Risk Index Rating,String,50,Cold Wave,Hazard Type Risk Index Rating,1.19.0,Mar-23
114,DRGT_EVNTS,Drought - Number of Events,Double,8,Drought,Number of Events,1.19.0,Mar-23
115,DRGT_AFREQ,Drought - Annualized Frequency,Double,8,Drought,Annualized Frequency,1.19.0,Mar-23
116,DRGT_EXPA,Drought - Exposure - Agriculture Value,Double,8,Drought,Exposure - Agriculture Value,1.19.0,Mar-23
117,DRGT_EXPT,Drought - Exposure - Total,Double,8,Drought,Exposure - Total,1.19.0,Mar-23
118,DRGT_EXP_AREA,Drought - Exposure - Impacted Area (sq mi),Double,8,Drought,Exposure - Area,1.19.0,Mar-23
119,DRGT_HLRA,Drought - Historic Loss Ratio - Agriculture,Double,8,Drought,Historic Loss Ratio - Agriculture,1.19.0,Mar-23
120,DRGT_HLRR,Drought - Historic Loss Ratio - Total Rating,String,50,Drought,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
121,DRGT_EALA,Drought - Expected Annual Loss - Agriculture Value,Double,8,Drought,Expected Annual Loss - Agriculture Value,1.19.0,Mar-23
122,DRGT_EALT,Drought - Expected Annual Loss - Total,Double,8,Drought,Expected Annual Loss - Total,1.19.0,Mar-23
123,DRGT_EALS,Drought - Expected Annual Loss Score,Double,8,Drought,Expected Annual Loss Score,1.19.0,Mar-23
124,DRGT_EALR,Drought - Expected Annual Loss Rating,String,50,Drought,Expected Annual Loss Rating,1.19.0,Mar-23
125,DRGT_ALRA,Drought - Expected Annual Loss Rate - Agriculture,Double,8,Drought,Expected Annual Loss Rate - Agriculture,1.19.0,Mar-23
126,DRGT_ALR_NPCTL,Drought - Expected Annual Loss Rate - National Percentile,Double,8,Drought,National Percentile,1.19.0,Mar-23
127,DRGT_RISKV,Drought - Hazard Type Risk Index Value,Double,8,Drought,Hazard Type Risk Index Value,1.19.0,Mar-23
128,DRGT_RISKS,Drought - Hazard Type Risk Index Score,Double,8,Drought,Hazard Type Risk Index Score,1.19.0,Mar-23
129,DRGT_RISKR,Drought - Hazard Type Risk Index Rating,String,50,Drought,Hazard Type Risk Index Rating,1.19.0,Mar-23
130,ERQK_EVNTS,Earthquake - Number of Events,Double,8,Earthquake,Number of Events,1.19.0,Mar-23
131,ERQK_AFREQ,Earthquake - Annualized Frequency,Double,8,Earthquake,Annualized Frequency,1.19.0,Mar-23
132,ERQK_EXPB,Earthquake - Exposure - Building Value,Double,8,Earthquake,Exposure - Building Value,1.19.0,Mar-23
133,ERQK_EXPP,Earthquake - Exposure - Population,Double,8,Earthquake,Exposure - Population,1.19.0,Mar-23
134,ERQK_EXPPE,Earthquake - Exposure - Population Equivalence,Double,8,Earthquake,Exposure - Population Equivalence,1.19.0,Mar-23
135,ERQK_EXPT,Earthquake - Exposure - Total,Double,8,Earthquake,Exposure - Total,1.19.0,Mar-23
136,ERQK_EXP_AREA,Earthquake - Exposure - Impacted Area (sq mi),Double,8,Earthquake,Exposure - Area,1.19.0,Mar-23
137,ERQK_HLRB,Earthquake - Historic Loss Ratio - Buildings,Double,8,Earthquake,Historic Loss Ratio - Buildings,1.19.0,Mar-23
138,ERQK_HLRP,Earthquake - Historic Loss Ratio - Population,Double,8,Earthquake,Historic Loss Ratio - Population,1.19.0,Mar-23
139,ERQK_HLRR,Earthquake - Historic Loss Ratio - Total Rating,String,50,Earthquake,Historic Loss Ratio - Total Rating,1.19.0,Mar-23
140,ERQK_EALB,Earthquake - Expected Annual Loss - Building Value,Double,8,Earthquake,Expected Annual Loss - Building Value,1.19.0,Mar-23
141,ERQK_EALP,Earthquake - Expected Annual Loss - Population,Double,8,Earthquake,Expected Annual Loss - Population,1.19.0,Mar-23
